"date","price","fly_to","departure_date","booking_days"
2018-02-22,54,"STN",2018-05-01,68
2018-02-22,38,"STN",2018-05-10,77
2018-02-22,38.5,"STN",2018-05-17,84
2018-02-22,34,"STN",2018-05-19,86
2018-02-22,34,"STN",2018-05-22,89
2018-02-23,54,"STN",2018-05-01,67
2018-02-23,39,"STN",2018-05-10,76
2018-02-23,50.5,"STN",2018-05-17,83
2018-02-23,36,"STN",2018-05-19,85
2018-02-23,36,"STN",2018-05-22,88
2018-02-23,39.5,"STN",2018-05-14,80
2018-02-23,40,"STN",2018-05-15,81
2018-02-23,36,"STN",2018-05-21,87
2018-02-24,54,"STN",2018-05-01,66
2018-02-24,57,"STN",2018-05-10,75
2018-02-24,40.5,"STN",2018-05-14,79
2018-02-24,39,"STN",2018-05-17,82
2018-02-25,57,"STN",2018-05-01,65
2018-02-25,57,"STN",2018-05-10,74
2018-02-25,39.5,"STN",2018-05-14,78
2018-02-26,54,"STN",2018-05-01,64
2018-02-26,59.5,"STN",2018-05-10,73
2018-02-26,53.5,"STN",2018-05-28,91
2018-02-26,122,"STN",2018-06-02,96
2018-02-26,35,"STN",2018-06-07,101
2018-02-27,59,"STN",2018-05-01,63
2018-02-27,64.5,"STN",2018-05-10,72
2018-02-27,35,"STN",2018-06-07,100
2018-02-28,52.5,"STN",2018-05-01,62
2018-02-28,66,"STN",2018-05-10,71
2018-02-28,35,"STN",2018-06-07,99
2018-03-01,60,"STN",2018-05-01,61
2018-03-01,60,"STN",2018-05-10,70
2018-03-01,35,"STN",2018-06-07,98
2018-03-02,60,"STN",2018-05-01,60
2018-03-02,54,"STN",2018-05-10,69
2018-03-02,35,"STN",2018-06-07,97
2018-03-03,68,"STN",2018-05-01,59
2018-03-04,62,"STN",2018-05-01,58
2018-03-04,35,"STN",2018-06-07,95
2018-03-05,60,"STN",2018-05-01,57
2018-03-05,35,"STN",2018-06-07,94
2018-03-06,60,"STN",2018-05-01,56
2018-03-06,35,"STN",2018-06-07,93
2018-03-07,70,"STN",2018-05-01,55
2018-03-07,39,"STN",2018-06-07,92
2018-03-08,66,"STN",2018-05-01,54
2018-03-09,35,"STN",2018-06-07,90
2018-03-10,69,"STN",2018-05-01,52
2018-03-11,74,"STN",2018-05-01,51
2018-03-14,69,"STN",2018-05-02,49
2018-03-19,54.5,"STN",2018-05-02,44
2018-03-19,46.5,"STN",2018-05-05,47
2018-03-20,45,"STN",2018-05-02,43
2018-03-20,69,"STN",2018-05-05,46
2018-03-21,44,"STN",2018-05-01,41
2018-03-21,44,"STN",2018-05-02,42
2018-03-23,54.5,"STN",2018-05-10,48
2018-03-23,64.5,"STN",2018-05-15,53
2018-03-24,79,"STN",2018-05-08,45
2018-03-26,46.5,"STN",2018-05-05,40
2018-03-27,49,"STN",2018-05-05,39
2018-03-28,46,"STN",2018-05-01,34
2018-03-28,69,"STN",2018-05-05,38
2018-03-29,50.5,"STN",2018-05-01,33
2018-03-29,69,"STN",2018-05-05,37
2018-03-30,39,"STN",2018-05-01,32
2018-03-30,51.5,"STN",2018-05-05,36
2018-03-30,69,"STN",2018-05-19,50
2018-03-31,42,"STN",2018-05-01,31
2018-03-31,59,"STN",2018-05-05,35
2018-04-01,50,"STN",2018-05-01,30
2018-04-02,42,"STN",2018-05-01,29
2018-04-03,42,"STN",2018-05-01,28
2018-04-04,42,"STN",2018-05-01,27
2018-04-05,42,"STN",2018-05-01,26
2018-04-06,46.5,"STN",2018-05-01,25
2018-04-07,47.5,"STN",2018-05-01,24
2018-04-08,47.5,"STN",2018-05-01,23
2018-04-09,44,"STN",2018-05-01,22
2018-04-10,41,"STN",2018-05-01,21
2018-04-11,46,"STN",2018-05-01,20
2018-04-12,44,"STN",2018-05-01,19
2018-04-13,54,"STN",2018-05-01,18
2018-04-14,54,"STN",2018-05-01,17
2018-04-15,54,"STN",2018-05-01,16
2018-04-16,89,"STN",2018-05-01,15
2018-04-17,36,"STN",2018-05-01,14
2018-04-20,108,"STN",2018-05-03,13
2018-04-23,90,"STN",2018-05-05,12
2018-04-23,36,"STN",2018-05-01,8
2018-04-24,43,"STN",2018-05-01,7
2018-04-24,63.5,"STN",2018-05-05,11
2018-04-25,94,"STN",2018-05-05,10
2018-04-26,44,"STN",2018-05-01,5
2018-04-26,94,"STN",2018-05-05,9
2018-04-27,53,"STN",2018-05-01,4
