"country","neighbours"
"ad lie land france","australian antarctic territory australia"
"afghanistan","people's republic of china;iran;pakistan;tajikistan;turkmenistan;uzbekistan"
"akrotiri and dhekelia united kingdom","cyprus"
"albania","greece;kosovo;f y r macedonia;montenegro"
"algeria","libya;mali;mauritania;morocco;niger;tunisia;western sahara"
"andorra","france;spain"
"angola","democratic republic of the congo;republic of the congo;namibia;zambia"
"ant rtica chilena province chile","argentine antarctica argentina british antarctic territory united kingdom"
"argentina","bolivia;brazil;chile;paraguay;uruguay"
"armenia","azerbaijan;georgia;iran;turkey"
"australian antarctic territory australia","ad lie land france queen maud land norway ross dependency new zealand"
"austria","czech republic;germany;hungary;italy;liechtenstein;slovakia;slovenia;switzerland"
"azerbaijan","armenia;georgia;iran;russia;turkey"
"bangladesh","india including dahagram angarpota;myanmar"
"belarus","latvia;lithuania;poland;russia;ukraine"
"belgium","france;germany;luxembourg;the netherlands"
"belize","guatemala;mexico"
"benin","burkina faso;niger;nigeria;togo"
"bhutan","people's republic of china;india"
"bolivia","argentina;brazil;chile;paraguay;peru"
"bosnia herzegovina","croatia;montenegro;serbia"
"botswana","namibia;south africa;zambia;zimbabwe"
"brazil","argentina;bolivia;colombia;french guiana france;guyana;paraguay;peru;suriname;uruguay;venezuela"
"british antarctic territory united kingdom","ant rtica chilena province chile argentine antarctica argentina queen maud land norway"
"brunei","malaysia"
"bulgaria","greece;f y r macedonia;romania;serbia;turkey"
"burkina faso","benin;c te d'ivoire;ghana;mali;niger;togo"
"burundi","democratic republic of the congo;rwanda;tanzania"
"cambodia","laos;thailand;vietnam"
"cameroon","central african republic;chad;republic of the congo;equatorial guinea;gabon;nigeria"
"canada","united states"
"central african republic","cameroon;chad;democratic republic of the congo;republic of the congo;south sudan;sudan"
"chad","cameroon;central african republic;libya;niger;nigeria;sudan"
"chile","argentina;bolivia;peru"
"people's republic of china","afghanistan;bhutan;hong kong pr china;india;kazakhstan;north korea;kyrgyzstan;laos;macau pr china;mongolia;myanmar;nepal;pakistan;russia;tajikistan;vietnam"
"colombia","brazil;ecuador;panama;peru;venezuela"
"democratic republic of the congo","angola;burundi;central african republic;republic of the congo;rwanda;south sudan;tanzania;uganda;zambia"
"republic of the congo","angola;cameroon;central african republic;democratic republic of the congo;gabon"
"costa rica","nicaragua;panama"
"c te d'ivoire","burkina faso;ghana;guinea;liberia;mali"
"croatia","bosnia herzegovina;hungary;montenegro;serbia;slovenia"
"cyprus","akrotiri and dhekelia united kingdom"
"northern cyprus","akrotiri and dhekelia united kingdom cyprus"
"czech republic","austria;germany;poland;slovakia"
"denmark","germany"
"djibouti","eritrea;ethiopia;somalia"
"dominican republic","haiti"
"east timor","indonesia"
"ecuador","colombia;peru"
"egypt","gaza strip palestinian territories;israel;libya;sudan"
"el salvador","guatemala;honduras"
"equatorial guinea","cameroon;gabon"
"eritrea","djibouti;ethiopia;sudan"
"estonia","latvia;russia"
"ethiopia","djibouti;eritrea;kenya;somalia;south sudan;sudan"
"european union","albania;andorra;belarus;bosnia herzegovina;brazil;liechtenstein;f y r macedonia;moldova;monaco;montenegro;morocco;norway;russia;san marino;serbia;suriname;switzerland;turkey;ukraine;vatican city"
"finland","norway;sweden;russia"
"france","andorra;belgium;germany;italy;luxembourg;monaco;spain;switzerland"
"france including french overseas departments collectivities and territories includes: clipperton island french guiana french polynesia french southern and antarctic lands guadeloupe martinique mayotte new caledonia r union saint barth lemy saint martin saint pierre and miquelon wallis and futuna","andorra;belgium;brazil;germany;italy;luxembourg;monaco;sint maarten netherlands;spain;suriname;switzerland"
"french guiana france","brazil;suriname"
"gabon","cameroon;republic of the congo;equatorial guinea"
"the gambia","senegal"
"gaza strip palestine","egypt;israel"
"georgia","armenia;azerbaijan;russia;turkey"
"germany","austria;belgium;czech republic;denmark;france;luxembourg;the netherlands;poland;switzerland"
"ghana","burkina faso;c te d'ivoire;togo"
"gibraltar united kingdom","spain"
"greece","albania;bulgaria;turkey;f y r macedonia"
"guatemala","belize;el salvador;honduras;mexico"
"guinea","c te d'ivoire;guinea bissau;liberia;mali;senegal;sierra leone"
"guinea bissau","guinea;senegal"
"guyana","brazil;suriname;venezuela"
"haiti","dominican republic"
"honduras","guatemala;el salvador;nicaragua"
"hong kong people's republic of china","people's republic of china"
"hungary","austria;croatia;romania;serbia;slovakia;slovenia;ukraine"
"india","bangladesh including dahagram angarpota;bhutan;people's republic of china;myanmar;nepal;pakistan"
"indonesia","east timor;malaysia;papua new guinea"
"iran","afghanistan;armenia;azerbaijan;iraq;pakistan;turkey;turkmenistan"
"iraq","iran;jordan;kuwait;saudi arabia;syria;turkey"
"ireland","united kingdom"
"israel","egypt;gaza strip palestinian territories;jordan;lebanon;syria;west bank palestinian territories"
"italy","austria;france;san marino;slovenia;switzerland;vatican city"
"jordan","iraq;israel;saudi arabia;syria;west bank palestinian territories"
"kazakhstan","people's republic of china;kyrgyzstan;russia;turkmenistan;uzbekistan"
"kenya","ethiopia;somalia;south sudan;tanzania;uganda"
"north korea","people's republic of china;south korea;russia"
"south korea","north korea"
"kosovo","albania;f y r macedonia;montenegro;serbia"
"kuwait","iraq;saudi arabia"
"kyrgyzstan","people's republic of china;kazakhstan;tajikistan;uzbekistan"
"laos","cambodia;people's republic of china;myanmar;thailand;vietnam"
"latvia","belarus;estonia;lithuania;russia"
"lebanon","israel;syria"
"lesotho","south africa"
"liberia","guinea;c te d'ivoire;sierra leone"
"libya","algeria;chad;egypt;niger;sudan;tunisia"
"liechtenstein","austria;switzerland"
"lithuania","belarus;latvia;poland;russia"
"luxembourg","belgium;france;germany"
"macau people's republic of china","people's republic of china"
"f y r macedonia","albania;bulgaria;greece;kosovo;serbia"
"malawi","mozambique;tanzania;zambia"
"malaysia","brunei;indonesia;thailand"
"mali","algeria;burkina faso;c te d'ivoire;guinea;mauritania;niger;senegal"
"mauritania","algeria;mali;senegal;western sahara"
"mexico","belize;guatemala;united states"
"moldova","romania;ukraine"
"monaco","france"
"mongolia","people's republic of china;russia"
"montenegro","albania;bosnia herzegovina;croatia;kosovo;serbia"
"morocco","algeria;western sahara;spain"
"mozambique","malawi;south africa;swaziland;tanzania;zambia;zimbabwe"
"myanmar","bangladesh;people's republic of china;india;laos;thailand"
"nagorno karabakh republic","armenia azerbaijan iran"
"namibia","angola;botswana;south africa;zambia"
"nepal","people's republic of china;india"
"the netherlands","belgium;germany"
"netherlands kingdom of the includes: aruba cura ao netherlands including caribbean netherlands sint maarten","belgium;germany;saint martin france"
"nicaragua","costa rica;honduras"
"niger","algeria;benin;burkina faso;chad;libya;mali;nigeria"
"nigeria","benin;cameroon;chad;niger"
"norway","finland;sweden;russia"
"oman","saudi arabia;united arab emirates;yemen"
"pakistan","afghanistan;people's republic of china;india;iran"
"palestine","egypt;israel;jordan"
"panama","colombia;costa rica"
"papua new guinea","indonesia"
"paraguay","argentina;bolivia;brazil"
"peru","bolivia;brazil;chile;colombia;ecuador"
"poland","belarus;czech republic;germany;lithuania;russia;slovakia;ukraine"
"portugal","spain"
"qatar","saudi arabia"
"queen maud land norway","australian antarctic territory australia british antarctic territory united kingdom"
"romania","bulgaria;hungary;moldova;serbia;ukraine"
"ross dependency new zealand","australian antarctic territory australia"
"russia","azerbaijan;belarus;people's republic of china;estonia;finland;georgia;kazakhstan;north korea;latvia;lithuania;mongolia;norway;poland;ukraine"
"rwanda","burundi;democratic republic of the congo;tanzania;uganda"
"saint martin","sint maarten netherlands"
"san marino","italy"
"saudi arabia","iraq;jordan;kuwait;oman;qatar;united arab emirates;yemen"
"senegal","the gambia;guinea;guinea bissau;mali;mauritania"
"serbia","bosnia herzegovina;bulgaria;croatia;hungary;kosovo;f y r macedonia;montenegro;romania"
"sierra leone","guinea;liberia"
"sint maarten netherlands","saint martin france"
"slovakia","austria;czech republic;hungary;poland;ukraine"
"slovenia","austria;croatia;italy;hungary"
"somalia","djibouti;ethiopia;kenya"
"somaliland","djibouti;ethiopia somalia"
"south africa","botswana;lesotho;mozambique;namibia;swaziland;zimbabwe"
"south sudan","central african republic;democratic republic of the congo;ethiopia;kenya;sudan;uganda"
"spain","andorra;france;gibraltar;portugal;morocco"
"sudan","central african republic;chad;egypt;eritrea;ethiopia;libya;south sudan"
"suriname","brazil;french guiana france;guyana"
"swaziland","mozambique;south africa"
"sweden","finland;including and border segments with land islands norway"
"switzerland","austria;france;italy;liechtenstein;germany"
"syria","iraq;israel;jordan;lebanon;turkey"
"tajikistan","afghanistan;people's republic of china;kyrgyzstan;uzbekistan"
"tanzania","burundi;democratic republic of the congo;kenya;malawi;mozambique;rwanda;uganda;zambia"
"thailand","cambodia;laos;malaysia;myanmar"
"togo","benin;burkina faso;ghana"
"transnistria","moldova ukraine"
"tunisia","algeria;libya"
"turkey","armenia;azerbaijan;bulgaria;georgia;greece;iran;iraq;syria"
"turkmenistan","afghanistan;iran;kazakhstan;uzbekistan"
"uganda","democratic republic of the congo;kenya;rwanda;south sudan;tanzania"
"ukraine","belarus;hungary;moldova;poland;romania;russia;slovakia"
"united arab emirates","oman;saudi arabia"
"united kingdom","ireland"
"united kingdom plus british overseas territories and crown dependencies including: akrotiri and dhekelia anguilla bermuda british indian ocean territory british virgin islands cayman islands falkland islands gibraltar guernsey isle of man jersey montserrat pitcairn islands saint helena ascension and tristan da cunha south georgia and the south sandwich islands turks and caicos islands","cyprus;ireland;spain"
"united states","canada;mexico"
"uruguay","argentina;brazil"
"uzbekistan","afghanistan;kazakhstan;kyrgyzstan;tajikistan;turkmenistan"
"vatican city","italy"
"venezuela","brazil;colombia;guyana"
"vietnam","cambodia;people's republic of china;laos"
"west bank palestine","israel;jordan"
"western sahara","algeria;mauritania;morocco"
"yemen","oman;saudi arabia"
"zambia","angola;botswana;democratic republic of the congo;malawi;mozambique;namibia;tanzania;zimbabwe"
"zimbabwe","botswana;mozambique;south africa;zambia"
"serbia montenegro","bosnia herzegovina;bulgaria;croatia;hungary;kosovo;f y r macedonia;montenegro;romania;albania;bosnia herzegovina;croatia;kosovo;serbia"
