Event,Stage,From,To,Type,Points
kyiv-2017,first-semi-final,albania,Portugal,Televoting,12
kyiv-2017,first-semi-final,albania,Sweden,Televoting,10
kyiv-2017,first-semi-final,albania,Belgium,Televoting,8
kyiv-2017,first-semi-final,albania,Moldova,Televoting,7
kyiv-2017,first-semi-final,albania,Greece,Televoting,6
kyiv-2017,first-semi-final,albania,Finland,Televoting,5
kyiv-2017,first-semi-final,albania,Iceland,Televoting,4
kyiv-2017,first-semi-final,albania,Cyprus,Televoting,3
kyiv-2017,first-semi-final,albania,Poland,Televoting,2
kyiv-2017,first-semi-final,albania,Australia,Televoting,1
kyiv-2017,first-semi-final,albania,Moldova,Jury,12
kyiv-2017,first-semi-final,albania,Armenia,Jury,10
kyiv-2017,first-semi-final,albania,Greece,Jury,8
kyiv-2017,first-semi-final,albania,Azerbaijan,Jury,7
kyiv-2017,first-semi-final,albania,Portugal,Jury,6
kyiv-2017,first-semi-final,albania,Australia,Jury,5
kyiv-2017,first-semi-final,albania,Sweden,Jury,4
kyiv-2017,first-semi-final,albania,Belgium,Jury,3
kyiv-2017,first-semi-final,albania,Poland,Jury,2
kyiv-2017,first-semi-final,albania,Georgia,Jury,1
kyiv-2017,first-semi-final,armenia,Cyprus,Televoting,12
kyiv-2017,first-semi-final,armenia,Moldova,Televoting,10
kyiv-2017,first-semi-final,armenia,Georgia,Televoting,8
kyiv-2017,first-semi-final,armenia,Portugal,Televoting,7
kyiv-2017,first-semi-final,armenia,Belgium,Televoting,6
kyiv-2017,first-semi-final,armenia,Greece,Televoting,5
kyiv-2017,first-semi-final,armenia,Sweden,Televoting,4
kyiv-2017,first-semi-final,armenia,Australia,Televoting,3
kyiv-2017,first-semi-final,armenia,Poland,Televoting,2
kyiv-2017,first-semi-final,armenia,Montenegro,Televoting,1
kyiv-2017,first-semi-final,armenia,Cyprus,Jury,12
kyiv-2017,first-semi-final,armenia,Greece,Jury,10
kyiv-2017,first-semi-final,armenia,Moldova,Jury,8
kyiv-2017,first-semi-final,armenia,Portugal,Jury,7
kyiv-2017,first-semi-final,armenia,Georgia,Jury,6
kyiv-2017,first-semi-final,armenia,Sweden,Jury,5
kyiv-2017,first-semi-final,armenia,Czech Republic,Jury,4
kyiv-2017,first-semi-final,armenia,Iceland,Jury,3
